client_id,first_name,last_name,date_of_birth,region_id,city_id,street_id,houseNr_id,clientType_id,discount
0,pani,Ewelina,1966-11-15,0,0,0,0,1,45
1,Grzegorz,Plak,1960-10-30,1,1,1,1,0,10
2,Szymon,Pu³a,1970-08-05,2,2,2,2,0,25
3,Kacper,Œwi¹tkiewicz,1996-05-12,3,3,3,3,1,20
4,Robert,Suchenek,1980-01-29,4,4,4,4,0,5
5,Malwina,Bojczuk,1997-08-20,5,5,5,5,0,25
6,Mieszko,Aleksa,2002-11-30,6,6,6,6,0,20
7,Konstanty,Grymuza,2002-01-09,7,7,7,7,0,35
8,Hubert,Skup,1979-08-06,8,8,8,8,0,35
9,Antoni,Morka,1959-11-21,9,9,9,9,0,5
10,Agnieszka,Sztuba,1973-03-07,10,10,10,10,0,15
11,pani,Natasza,1987-05-31,11,11,11,11,0,20
12,pan,Juliusz,1988-04-06,12,12,12,12,1,45
13,Maciej,Zawodnik,1971-06-17,13,13,13,13,0,25
14,Anastazja,Rejmak,1962-09-21,14,14,14,14,0,10
15,Sylwia,Naro¿na,1976-12-09,15,15,15,15,0,25
16,Antoni,Mueller,1999-05-19,0,0,16,16,0,10
17,pan,Norbert,2002-06-03,1,1,17,17,1,45
18,Stanis³aw,Moroñ,2003-05-22,2,2,18,18,0,5
19,Norbert,Welenc,1993-02-02,3,3,19,19,1,5
20,pan,Wojciech,1966-08-13,4,4,20,20,1,35
21,Adrianna,Bryzek,1989-04-19,5,5,21,21,0,10
22,Eryk,Kremer,2002-04-17,6,6,22,22,0,15
23,Justyna,Patyna,1978-11-09,7,7,23,23,0,45
24,Cezary,F¹ferek,1968-07-22,8,8,24,24,1,0
25,Mi³osz,Go³ota,1999-05-12,9,9,25,25,1,45
26,Oliwier,Nestorowicz,1979-01-11,10,10,26,26,0,20
27,Monika,Marko,1968-10-22,11,11,27,27,0,45
28,pan,Igor,1967-06-13,12,12,28,28,1,35
29,Mateusz,Dytrych,1996-12-03,13,13,29,29,1,25
30,Kacper,Kasznia,1978-06-19,14,14,30,30,0,35
31,Kornel,Tyma,1981-11-16,15,15,31,31,1,0
32,pani,Blanka,1988-05-16,0,0,32,32,0,35
33,Aleksander,G³owienka,1963-01-28,1,1,33,33,1,15
34,pani,Julianna,1984-08-21,2,2,34,34,0,10
35,Agnieszka,Ba³azy,1959-02-25,3,3,35,35,0,45
36,Hubert,Pielech,1986-08-06,4,4,36,36,0,25
37,pan,Dominik,1969-05-09,5,5,37,37,0,45
38,pani,Karina,1969-05-11,6,6,38,38,1,40
39,Hubert,Apanowicz,1981-09-26,7,7,39,39,0,30
40,Lidia,Cieloch,2003-01-03,8,8,40,40,0,30
41,B³a¿ej,Surdyk,1993-11-07,9,9,41,41,0,40
42,pan,Patryk,1980-01-17,10,10,42,42,1,20
