phone_id,phone_number,client_id,employee_id,branch_id,phoneType_id
0,22 663 75 08,0,,,0
1,+48 602 971 719,1,,,0
2,+48 728 285 762,2,,,0
3,+48 22 311 70 40,3,,,0
4,+48 515 638 116,4,,,0
5,880 365 096,5,,,0
6,736 763 198,6,,,0
7,+48 22 515 54 70,7,,,0
8,+48 536 356 029,8,,,0
9,881 869 730,9,,,0
10,511 466 227,10,,,0
11,+48 885 038 974,11,,,0
12,+48 532 184 386,12,,,0
13,+48 722 401 028,13,,,0
14,578 577 974,14,,,0
15,+48 690 027 994,15,,,0
16,+48 570 282 752,16,,,0
17,+48 698 115 216,17,,,0
18,+48 781 758 526,18,,,0
19,+48 32 551 25 25,19,,,0
20,734 978 628,20,,,0
21,571 320 912,21,,,0
22,+48 796 697 178,22,,,0
23,+48 739 550 132,23,,,0
24,+48 722 087 098,24,,,0
25,789 655 149,25,,,0
26,788 436 973,26,,,0
27,+48 22 774 69 31,27,,,0
28,888 691 929,28,,,0
29,+48 786 131 541,29,,,0
30,668 082 378,30,,,0
31,+48 667 802 882,31,,,0
32,+48 691 191 225,32,,,0
33,785 248 734,33,,,0
34,+48 794 564 639,34,,,0
35,+48 785 337 012,35,,,0
36,+48 668 354 315,36,,,0
37,575 049 910,37,,,0
38,509 207 775,38,,,0
39,+48 518 470 397,39,,,0
40,32 476 58 38,40,,,0
41,538 436 385,41,,,0
42,573 577 094,42,,,0
43,+48 789 949 492,43,,,0
44,+48 503 430 617,44,,,0
45,+48 798 689 845,45,,,0
46,+48 517 497 518,46,,,0
47,+48 500 270 853,47,,,0
48,577 604 848,48,,,0
49,696 621 423,49,,,0
50,661 099 514,50,,,0
51,+48 720 403 298,51,,,0
52,+48 690 399 981,52,,,0
53,32 148 88 63,53,,,0
54,794 868 784,54,,,0
55,+48 609 515 397,55,,,0
56,571 753 454,56,,,0
57,501 962 115,57,,,0
58,+48 607 445 950,58,,,0
59,+48 888 196 917,59,,,0
60,507 487 093,60,,,0
61,+48 662 528 944,61,,,0
62,735 093 124,62,,,0
63,+48 664 377 855,63,,,0
64,693 070 402,64,,,0
65,887 431 987,65,,,0
66,+48 579 978 770,66,,,0
67,730 114 832,67,,,0
68,+48 602 009 814,68,,,0
69,514 712 955,69,,,0
70,+48 736 029 743,70,,,0
71,+48 508 551 744,71,,,0
72,690 974 666,72,,,0
73,880 038 264,73,,,0
74,780 066 933,74,,,0
75,722 413 863,75,,,0
76,+48 32 700 13 40,76,,,0
77,660 666 583,77,,,0
78,+48 508 093 512,78,,,0
79,+48 511 778 975,79,,,0
80,+48 571 759 744,80,,,0
81,886 228 242,81,,,0
82,+48 503 582 997,82,,,0
83,+48 516 774 246,83,,,0
84,+48 784 864 333,84,,,0
85,500 876 951,85,,,0
86,+48 32 335 15 48,86,,,0
87,692 702 004,87,,,0
88,500 689 023,88,,,0
89,+48 697 972 657,89,,,0
90,+48 888 819 358,90,,,0
91,22 356 30 70,91,,,0
92,798 109 877,92,,,0
93,504 289 164,93,,,0
94,780 034 309,94,,,0
95,22 273 29 95,95,,,0
96,607 330 543,96,,,0
97,+48 32 977 52 85,97,,,0
98,+48 32 356 18 36,98,,,0
99,+48 533 420 926,99,,,0
100,574 041 433,100,,,0
101,603 912 327,101,,,0
102,728 655 470,102,,,0
103,729 914 921,103,,,0
104,+48 884 759 061,104,,,0
105,727 607 276,105,,,0
106,+48 797 515 177,106,,,0
107,503 776 752,107,,,0
108,+48 32 348 77 37,108,,,0
109,22 761 88 67,109,,,0
110,32 665 12 36,110,,,0
111,603 119 450,111,,,0
112,886 792 103,112,,,0
113,+48 571 085 079,113,,,0
114,+48 663 357 094,114,,,0
115,+48 880 671 048,115,,,0
116,+48 22 941 72 43,116,,,0
117,+48 799 346 943,117,,,0
118,885 362 359,118,,,0
119,698 077 802,119,,,0
120,697 360 279,120,,,0
121,699 008 479,121,,,0
122,+48 533 732 754,122,,,0
123,516 572 205,123,,,0
124,+48 731 929 915,124,,,0
125,+48 736 349 334,125,,,0
126,+48 696 045 323,126,,,0
127,734 959 863,127,,,0
128,+48 506 884 364,128,,,0
129,+48 538 357 107,129,,,0
130,+48 22 178 12 44,130,,,0
131,+48 538 074 490,131,,,0
132,660 720 999,132,,,0
133,602 894 527,133,,,0
134,791 963 892,134,,,0
135,609 227 059,135,,,0
136,32 042 70 50,136,,,0
137,+48 22 744 29 39,137,,,0
138,+48 601 325 962,138,,,0
139,721 693 654,139,,,0
140,+48 22 729 02 90,140,,,0
141,+48 888 747 337,141,,,0
142,+48 791 812 379,142,,,0
143,+48 884 263 701,143,,,0
144,+48 512 564 003,144,,,0
145,880 764 642,145,,,0
146,+48 571 467 556,146,,,0
147,793 793 487,147,,,0
148,885 365 938,148,,,0
149,500 720 563,149,,,0
150,+48 539 484 168,150,,,0
151,577 728 551,151,,,0
152,+48 781 833 994,152,,,0
153,536 254 191,153,,,0
154,+48 725 902 220,154,,,0
155,+48 692 306 436,155,,,0
156,+48 518 161 456,156,,,0
157,+48 22 991 46 76,157,,,0
158,22 676 28 67,158,,,0
159,534 439 193,159,,,0
160,509 959 644,160,,,0
161,607 414 690,161,,,0
162,720 403 410,162,,,0
163,517 361 025,163,,,0
164,693 360 357,164,,,0
165,+48 794 068 858,165,,,0
166,+48 22 761 18 16,166,,,0
167,733 923 914,167,,,0
168,662 287 045,168,,,0
169,512 267 495,169,,,0
170,22 302 98 64,170,,,0
171,+48 578 359 117,171,,,0
172,500 862 553,172,,,0
173,22 171 44 38,173,,,0
174,+48 507 739 145,174,,,0
175,+48 514 108 322,175,,,0
176,+48 509 763 926,176,,,0
177,531 891 625,177,,,0
178,+48 32 842 52 58,178,,,0
179,+48 578 848 394,179,,,0
180,737 081 454,180,,,0
181,+48 515 166 659,181,,,0
182,+48 724 160 004,182,,,0
183,512 826 332,183,,,0
184,509 850 106,184,,,0
185,720 305 192,185,,,0
186,+48 668 495 620,186,,,0
187,578 814 292,187,,,0
188,783 062 412,188,,,0
189,+48 32 627 92 34,189,,,0
190,+48 729 326 237,190,,,0
191,694 980 345,191,,,0
192,517 518 284,192,,,0
193,+48 572 761 484,193,,,0
194,+48 573 665 045,194,,,0
195,+48 570 477 222,195,,,0
196,666 631 553,196,,,0
197,669 150 679,197,,,0
198,783 708 582,198,,,0
199,604 986 651,199,,,0
200,696 766 409,200,,,0
201,510 805 429,201,,,0
202,+48 578 920 230,202,,,0
203,726 134 166,203,,,0
204,+48 886 275 220,204,,,0
205,+48 506 971 240,205,,,0
206,+48 660 794 169,206,,,0
207,+48 600 650 830,207,,,0
208,32 452 48 10,208,,,0
209,734 050 020,209,,,0
210,666 897 251,210,,,0
211,603 564 853,211,,,0
212,+48 536 561 686,212,,,0
213,+48 739 400 868,213,,,0
214,+48 579 375 180,214,,,0
215,+48 725 875 440,215,,,0
216,+48 531 372 380,216,,,0
217,+48 578 151 694,217,,,0
218,22 662 75 83,218,,,0
219,32 160 06 96,219,,,0
220,+48 786 891 913,220,,,0
221,+48 887 096 376,221,,,0
222,+48 662 305 548,222,,,0
223,+48 665 993 002,223,,,0
224,889 475 853,224,,,0
225,787 833 319,225,,,0
226,+48 690 378 367,226,,,0
227,737 898 747,227,,,0
228,798 783 466,228,,,0
229,+48 731 065 511,229,,,0
230,+48 888 602 361,230,,,0
