client_id,first_name,last_name,date_of_birth,region_id,city_id,street_id,houseNr_id,clientType_id,discount
0,Agnieszka,Œcibisz,1964-02-23,0,0,0,0,0,40
1,Franciszek,Palus,1986-01-05,1,1,1,1,0,35
2,Rozalia,Franaszek,1991-03-19,2,2,2,2,0,15
3,Albert,Kurzyd³o,1992-11-12,3,3,3,3,0,0
4,Igor,Thomas,1972-03-07,4,4,4,4,1,45
5,Mieszko,Borkowicz,1971-09-16,5,5,5,5,1,40
6,Justyna,Mostek,1982-03-21,6,6,6,6,1,40
7,Oskar,Pietraszkiewicz,1972-04-02,7,7,7,7,1,0
8,Kornelia,Gajownik,1971-03-21,8,8,8,8,0,10
9,Ignacy,Satora,1992-05-05,9,9,9,9,0,45
10,pani,Monika,1957-01-31,10,10,10,10,1,30
11,pan,Ksawery,1999-04-14,11,11,11,11,0,30
12,pan,Bartek,1966-09-24,12,12,12,12,1,5
13,Krystian,Nieradzik,1962-08-20,13,13,13,13,0,0
14,Jacek,Godyñ,1978-03-18,14,14,14,14,0,40
15,Kamil,Szok,1961-04-19,15,15,15,15,1,30
16,Filip,Kozieja,1986-06-08,0,0,16,16,1,20
17,Artur,Maszczyk,1993-04-07,1,1,17,17,1,45
18,Anita,Wudarczyk,1983-03-26,2,2,18,18,1,20
19,Alex,Franc,1997-09-03,3,3,19,19,1,10
20,pani,Ada,1993-09-25,4,4,20,20,0,25
21,pan,Franciszek,1958-10-16,5,5,21,21,1,25
22,Gabriel,Abramczuk,1992-08-19,6,6,22,22,0,5
23,pan,Kamil,2004-10-25,7,7,23,23,0,5
24,Przemys³aw,Uliasz,1996-09-05,8,8,24,24,1,0
25,Ró¿a,£yczek,1995-09-10,9,9,25,25,0,35
26,Tymon,Stêpak,1993-07-23,10,10,26,26,1,30
27,pan,Eryk,1977-07-29,11,11,27,27,1,45
28,Nikodem,Smor¹g,1990-05-13,12,12,28,28,0,40
29,pan,Hubert,1979-08-27,13,13,29,29,1,0
30,pani,Aniela,2002-03-09,14,14,30,30,0,25
