phone_id,phone_number,client_id,phoneType_id
0,+48 609 595 040,0,1
1,+48 725 695 973,1,1
2,+48 32 522 56 23,2,1
3,+48 516 651 771,3,1
4,721 930 130,4,1
5,790 320 552,5,1
6,723 750 551,6,1
7,32 458 88 78,7,1
8,32 848 98 83,8,1
9,603 354 300,9,1
10,660 770 574,10,1
11,+48 737 879 675,11,1
12,698 735 833,12,1
13,+48 571 003 487,13,1
14,780 684 113,14,1
15,+48 530 835 086,15,1
16,+48 22 024 22 86,16,1
17,+48 792 994 617,17,1
18,+48 739 323 039,18,1
19,+48 22 590 33 90,19,1
20,601 043 938,20,1
21,+48 602 971 243,21,1
22,693 044 932,22,1
23,+48 726 897 806,23,1
24,539 260 708,24,1
25,22 617 55 72,25,1
26,+48 669 886 643,26,1
27,+48 886 555 788,27,1
28,+48 600 510 360,28,1
29,+48 601 535 580,29,1
30,+48 696 017 964,30,1
31,+48 609 622 137,31,1
32,+48 694 656 037,32,1
33,+48 690 603 796,33,1
34,+48 691 415 506,34,1
35,532 792 701,35,1
36,22 002 38 31,36,1
37,+48 574 582 935,37,1
38,607 928 821,38,1
39,+48 516 748 334,39,1
40,+48 507 889 939,40,1
41,+48 732 945 871,41,1
42,504 273 001,42,1
43,+48 574 822 862,43,1
44,+48 577 019 423,44,1
45,+48 787 365 678,45,1
46,22 945 53 09,46,1
47,575 955 364,47,1
48,+48 735 340 607,48,1
49,+48 535 362 401,49,1
50,797 915 951,50,1
51,+48 668 766 888,51,1
52,+48 572 260 177,52,1
53,661 534 439,53,1
54,579 548 828,54,1
55,+48 667 103 824,55,1
56,+48 724 137 674,56,1
57,+48 888 273 888,57,1
58,723 936 058,58,1
59,+48 795 604 189,59,1
60,784 317 888,60,1
61,724 711 438,61,1
62,732 067 574,62,1
63,664 384 596,63,1
64,537 902 402,64,1
65,735 441 588,65,1
66,+48 32 331 42 46,66,1
67,739 319 634,67,1
68,22 164 19 91,68,1
69,+48 787 546 563,69,1
70,504 725 855,70,1
71,737 653 783,71,1
72,32 985 02 23,72,1
73,661 316 254,73,1
74,690 535 942,74,1
75,729 875 545,75,1
76,665 539 211,76,1
77,+48 607 335 938,77,1
78,32 397 30 02,78,1
79,721 785 850,79,1
80,+48 782 846 111,80,1
81,796 715 949,81,1
82,+48 799 263 545,82,1
83,+48 22 150 93 91,83,1
84,789 390 262,84,1
85,22 421 72 74,85,1
86,+48 534 034 236,86,1
87,699 854 970,87,1
88,662 164 791,88,1
89,+48 726 478 897,89,1
90,+48 798 199 856,90,1
91,+48 574 568 502,91,1
92,604 514 380,92,1
93,+48 538 832 706,93,1
94,+48 500 028 410,94,1
95,784 644 089,95,1
96,+48 789 146 920,96,1
97,725 289 305,97,1
98,+48 602 078 501,98,1
99,+48 736 470 310,99,1
100,+48 667 074 206,100,1
101,+48 695 893 271,101,1
102,723 265 979,102,1
103,+48 699 883 332,103,1
104,533 339 362,104,1
105,514 875 969,105,1
106,+48 721 486 266,106,1
107,+48 515 801 709,107,1
108,739 319 723,108,1
109,+48 798 382 543,109,1
110,734 989 201,110,1
111,+48 600 328 521,111,1
112,+48 790 016 234,112,1
113,515 102 966,113,1
114,+48 508 443 064,114,1
115,+48 508 691 581,115,1
116,22 392 39 85,116,1
117,+48 692 185 037,117,1
118,536 988 943,118,1
119,+48 606 058 655,119,1
120,881 467 883,120,1
121,530 016 127,121,1
122,532 660 883,122,1
123,+48 666 752 149,123,1
124,+48 789 873 983,124,1
