client_id,first_name,last_name,date_of_birth,region_id,city_id,street_id,houseNr_id,clientType_id,discount
0,pani,Anastazja,1977-01-12,0,0,0,0,1,25
1,Aleksander,Rygu³a,1981-10-14,1,1,1,1,1,45
2,Albert,Ko³sut,2003-10-02,2,2,2,2,1,35
3,Tola,Pyc,1975-05-07,3,3,3,3,1,0
4,Ida,Wowra,1993-12-26,4,4,4,4,1,45
5,Liwia,Marat,1992-11-11,5,5,5,5,1,0
6,pan,Daniel,1970-12-24,6,6,6,6,1,20
7,Przemys³aw,Murach,1995-04-09,7,7,7,7,1,25
8,pan,Ernest,1963-04-29,8,8,8,8,1,5
9,Aniela,G³ownia,1975-07-13,9,9,9,9,1,25
10,Roksana,Gmurczyk,1999-03-22,10,10,10,10,1,20
11,Mieszko,Mitek,1966-07-26,11,11,11,11,1,15
12,Jan,Knych,2002-05-06,12,12,12,12,1,30
13,Andrzej,Gemza,1987-10-11,13,13,13,13,1,35
14,pani,Krystyna,1963-02-20,14,14,14,14,1,30
15,Cezary,G³ownia,2003-05-07,15,15,15,15,1,20
16,Adam,Krzyœko,1956-12-27,0,0,16,16,1,10
17,Adrian,Knapek,1967-11-19,1,1,17,17,1,45
18,Juliusz,Kotala,1956-11-28,2,2,18,18,1,45
19,Alex,Giersz,1962-08-05,3,3,19,19,1,35
20,Franciszek,Franczuk,1980-05-11,4,4,20,20,1,35
21,pan,Pawe³,1986-10-26,5,5,21,21,1,40
22,Sonia,Drewniok,1960-03-29,6,6,22,22,1,35
23,Mariusz,Kulma,1959-10-11,7,7,23,23,1,20
24,Tola,Janoszka,2001-01-02,8,8,24,24,1,5
25,Julian,Miêtus,1976-08-12,9,9,25,25,1,40
26,Jakub,Ryznar,1985-06-15,10,10,26,26,1,20
27,Wiktor,Konat,1966-10-20,11,11,27,27,1,30
28,Fabian,Strzoda,1992-06-09,12,12,28,28,1,10
29,Kaja,Wawrzonek,1970-02-07,13,13,29,29,1,35
30,pan,Pawe³,1982-04-17,14,14,30,30,1,20
31,Jan,¯ywica,1960-09-02,15,15,31,31,1,45
32,Maciej,Mytnik,1963-04-16,0,0,32,32,1,40
33,Dorota,Czerniec,1992-12-17,1,1,33,33,1,30
34,Gaja,Procek,1972-07-21,2,2,34,34,1,40
35,Monika,Latacz,2004-06-16,3,3,35,35,1,45
36,Marika,Pogorzelec,1959-07-29,4,4,36,36,1,5
37,Józef,Dyka,2000-09-26,5,5,37,37,1,35
38,Fabian,Kohut,1960-06-30,6,6,38,38,1,10
39,pan,Krzysztof,1989-10-05,7,7,39,39,1,45
40,Tymon,Margas,1984-08-25,8,8,40,40,1,30
41,Aniela,Gêbura,1978-03-23,9,9,41,41,1,40
42,Ignacy,Milej,1978-07-09,10,10,42,42,1,10
43,Aniela,Krêcisz,1982-08-03,11,11,43,43,1,40
44,Tadeusz,Wudarczyk,1992-06-20,12,12,44,44,1,10
45,Fryderyk,Szczepan,1961-07-03,13,13,45,45,1,35
46,pan,Eryk,1991-10-27,14,14,46,46,1,25
47,Marcel,Welenc,2000-08-09,15,15,47,47,1,15
48,Damian,Kawulok,1996-07-28,0,0,48,48,1,40
49,Cyprian,B¹czkiewicz,1996-12-08,1,1,49,49,1,25
50,Jerzy,Dydo,1963-12-17,2,2,50,50,1,15
51,Inga,Saran,1997-05-19,3,3,51,51,1,10
52,Filip,Hajdukiewicz,2001-08-12,4,4,52,52,1,5
53,pani,Ewa,1963-12-24,5,5,53,53,1,45
54,Rafa³,Rurka,1998-02-02,6,6,54,54,1,30
55,pan,Kamil,1995-06-06,7,7,55,55,1,0
56,Apolonia,Brejnak,1996-05-11,8,8,56,56,1,40
57,Ewelina,Kulma,1957-06-12,9,9,57,57,1,45
58,Karol,Cecot,1984-11-18,10,10,58,58,1,30
59,Ksawery,Tekiela,1985-03-12,11,11,59,59,1,15
60,pan,Miko³aj,1991-01-05,12,12,60,60,1,35
61,Tomasz,Goss,1995-05-10,13,13,61,61,1,15
62,Kornel,Czylok,1981-10-09,14,14,62,62,1,45
63,Leonard,Fija³ek,1969-06-09,15,15,63,63,1,5
64,Antoni,Jarkiewicz,1972-09-16,0,0,64,64,1,25
65,pani,Julianna,1980-11-27,1,1,65,65,1,5
66,Krystian,Ho³ysz,1971-01-15,2,2,66,66,1,45
67,pan,Piotr,1996-10-12,3,3,67,67,1,5
68,Kamil,Dulewicz,1969-11-04,4,4,68,68,1,45
69,Kornel,Klepka,1997-03-18,5,5,69,69,1,30
70,pan,Alan,1971-01-16,6,6,70,70,1,5
71,Oliwier,Pindor,1966-05-21,7,7,71,71,1,20
72,Kamil,Roso³ek,1959-06-11,8,8,72,72,1,25
73,Sara,Cydzik,1986-06-18,9,9,73,73,1,10
74,Ewa,Kozaczuk,1966-06-03,10,10,74,74,1,10
75,Konrad,Kubina,1974-10-19,11,11,75,75,1,0
76,Gustaw,Walusiak,1963-04-22,12,12,76,76,1,35
77,Witold,Kuszyk,1979-08-18,13,13,77,77,1,20
78,Oskar,Dylong,1976-05-15,14,14,78,78,1,25
79,Olgierd,Zegar,1958-05-10,15,15,79,79,1,25
80,Patryk,Kostorz,1977-02-08,0,0,80,80,1,5
81,Tola,Krzysztoszek,1957-08-07,1,1,81,81,1,15
82,pani,Eliza,1970-02-06,2,2,82,82,1,25
83,Aurelia,Krzyka³a,1987-03-28,3,3,83,83,1,15
84,pan,Maksymilian,1998-09-04,4,4,84,84,1,0
85,Ewa,Wawszczyk,1977-11-22,5,5,85,85,1,15
86,pan,Franciszek,1976-08-12,6,6,86,86,1,15
87,Ernest,Nowek,1994-07-02,7,7,87,87,1,0
88,Sandra,Franaszek,1982-10-06,8,8,88,88,1,10
89,pani,El¿bieta,1974-05-20,9,9,89,89,1,45
90,Witold,Ziniewicz,1990-09-23,10,10,90,90,1,20
91,pani,Nela,1964-02-25,11,11,91,91,1,40
92,pan,Jan,1993-01-08,12,12,92,92,1,45
93,Tola,Wenzel,1961-12-02,13,13,93,93,1,35
94,Szymon,Dorawa,1998-07-24,14,14,94,94,1,5
95,Julianna,Widuch,1962-11-06,15,15,95,95,1,25
96,Mateusz,Wandzel,1989-08-08,0,0,96,96,1,40
97,Melania,Kud³acik,1958-02-01,1,1,97,97,1,40
