phone_id,phone_number,client_id,employee_id,branch_id,phoneType_id
0,+48 22 516 70 63,0,,,0
1,+48 22 281 47 76,1,,,0
2,729 954 709,2,,,0
3,668 837 187,3,,,0
4,+48 578 659 512,4,,,0
5,579 088 160,5,,,0
6,609 313 712,6,,,0
7,572 476 482,7,,,0
8,+48 604 436 759,8,,,0
9,22 902 89 90,9,,,0
10,+48 734 858 243,10,,,0
11,+48 888 196 945,11,,,0
12,727 106 856,12,,,0
13,22 664 77 08,13,,,0
14,782 373 481,14,,,0
15,734 526 349,15,,,0
16,518 714 050,16,,,0
17,698 603 721,17,,,0
18,696 932 870,18,,,0
19,+48 884 351 287,19,,,0
20,530 932 455,20,,,0
21,+48 725 500 084,21,,,0
22,885 756 167,22,,,0
23,669 036 269,23,,,0
24,+48 32 491 78 36,24,,,0
25,+48 781 447 363,25,,,0
26,+48 788 352 683,26,,,0
27,534 950 460,27,,,0
28,+48 663 194 279,28,,,0
29,534 144 622,29,,,0
30,660 225 833,30,,,0
31,+48 796 950 397,31,,,0
32,32 317 62 07,32,,,0
33,512 620 172,33,,,0
34,512 015 202,34,,,0
35,+48 882 517 866,35,,,0
36,22 336 76 44,36,,,0
37,724 110 505,37,,,0
38,+48 695 502 587,38,,,0
39,+48 661 988 946,39,,,0
40,600 188 708,40,,,0
41,602 957 483,41,,,0
42,+48 22 903 18 68,42,,,0
43,22 710 38 81,43,,,0
44,+48 699 445 812,44,,,0
45,+48 517 688 801,45,,,0
46,515 566 348,46,,,0
47,+48 579 758 372,47,,,0
48,728 657 150,48,,,0
49,+48 786 378 063,49,,,0
50,+48 505 612 046,50,,,0
51,+48 791 618 597,51,,,0
52,+48 728 403 152,52,,,0
53,696 385 778,53,,,0
54,+48 22 182 13 10,54,,,0
55,665 264 918,55,,,0
56,725 559 901,56,,,0
57,534 720 406,57,,,0
58,+48 665 918 950,58,,,0
59,32 638 63 71,59,,,0
60,607 541 712,60,,,0
61,+48 731 078 426,61,,,0
62,571 380 509,62,,,0
63,690 953 462,63,,,0
64,794 200 393,64,,,0
65,606 276 790,65,,,0
66,577 184 521,66,,,0
67,508 457 942,67,,,0
68,+48 784 378 570,68,,,0
69,504 137 700,69,,,0
70,32 990 15 05,70,,,0
71,32 897 30 34,71,,,0
72,+48 607 158 789,72,,,0
73,+48 738 721 636,73,,,0
74,+48 662 253 702,74,,,0
75,537 783 070,75,,,0
76,22 003 74 09,76,,,0
77,730 413 249,77,,,0
78,+48 799 661 396,78,,,0
79,781 718 148,79,,,0
80,+48 730 970 434,80,,,0
81,+48 734 709 892,81,,,0
82,+48 796 200 125,82,,,0
83,667 985 816,83,,,0
84,+48 886 899 284,84,,,0
85,517 556 230,85,,,0
86,32 010 65 54,86,,,0
87,+48 669 500 497,87,,,0
88,+48 785 506 403,88,,,0
89,+48 737 248 370,89,,,0
90,+48 603 181 313,90,,,0
91,+48 789 676 560,91,,,0
92,+48 535 505 984,92,,,0
93,+48 726 248 544,93,,,0
94,788 278 105,94,,,0
95,722 946 585,95,,,0
96,504 056 592,96,,,0
97,+48 726 529 387,97,,,0
98,+48 606 242 671,98,,,0
99,607 896 302,99,,,0
100,722 739 110,100,,,0
101,501 082 866,101,,,0
102,600 820 223,102,,,0
103,721 680 348,103,,,0
104,+48 531 335 106,104,,,0
105,22 322 50 41,105,,,0
106,780 174 010,106,,,0
107,661 103 711,107,,,0
108,+48 537 338 461,108,,,0
109,507 384 767,109,,,0
110,+48 512 696 387,110,,,0
111,+48 690 684 795,111,,,0
112,531 771 050,112,,,0
113,+48 513 233 633,113,,,0
114,+48 693 136 118,114,,,0
115,605 590 379,115,,,0
116,+48 506 463 638,116,,,0
117,+48 880 279 242,117,,,0
118,699 977 433,118,,,0
119,500 555 628,119,,,0
120,+48 515 354 948,120,,,0
121,+48 500 363 243,121,,,0
122,+48 886 774 782,122,,,0
123,889 984 274,123,,,0
124,+48 725 241 845,124,,,0
125,723 723 942,125,,,0
126,+48 888 228 984,126,,,0
127,+48 721 855 173,127,,,0
128,505 628 751,128,,,0
129,+48 22 148 06 93,129,,,0
130,32 108 59 03,130,,,0
131,32 727 35 85,131,,,0
132,889 862 524,132,,,0
133,881 967 595,133,,,0
134,695 378 364,134,,,0
135,+48 784 855 520,135,,,0
136,726 786 426,136,,,0
137,+48 603 387 492,137,,,0
138,+48 882 708 833,138,,,0
139,795 590 301,139,,,0
140,+48 782 291 006,140,,,0
141,786 259 242,141,,,0
142,885 360 710,142,,,0
143,539 798 090,143,,,0
144,+48 32 900 29 48,144,,,0
145,661 814 387,145,,,0
146,+48 579 924 124,146,,,0
147,885 342 975,147,,,0
148,32 931 20 22,148,,,0
149,+48 508 970 690,149,,,0
150,730 412 835,150,,,0
151,+48 693 311 979,151,,,0
152,601 086 029,152,,,0
153,22 382 58 07,153,,,0
154,667 085 778,154,,,0
155,+48 515 793 013,155,,,0
156,666 700 157,156,,,0
157,572 254 352,157,,,0
158,22 372 00 07,158,,,0
159,691 448 552,159,,,0
160,506 424 952,160,,,0
161,+48 665 277 334,161,,,0
162,+48 666 837 935,162,,,0
163,699 391 650,163,,,0
164,+48 793 132 776,164,,,0
165,665 664 309,165,,,0
166,+48 22 202 97 40,166,,,0
167,+48 668 180 986,167,,,0
168,+48 571 662 906,168,,,0
169,508 904 559,169,,,0
170,505 419 359,170,,,0
171,+48 663 593 737,171,,,0
172,+48 664 495 488,172,,,0
173,668 813 414,173,,,0
174,+48 886 025 865,174,,,0
175,+48 888 339 085,175,,,0
176,+48 22 891 09 14,176,,,0
177,725 415 388,177,,,0
178,698 024 976,178,,,0
179,734 202 863,179,,,0
180,+48 602 887 515,180,,,0
181,720 135 119,181,,,0
182,+48 691 216 710,182,,,0
183,+48 32 604 88 81,183,,,0
184,+48 572 990 389,184,,,0
185,+48 736 147 665,185,,,0
186,+48 733 488 075,186,,,0
187,+48 797 450 348,187,,,0
188,+48 579 712 853,188,,,0
189,724 653 452,189,,,0
190,+48 32 225 07 66,190,,,0
191,537 907 288,191,,,0
192,22 353 71 67,192,,,0
193,661 204 140,193,,,0
194,+48 734 166 433,194,,,0
195,+48 888 922 778,195,,,0
196,+48 570 329 603,196,,,0
197,+48 794 833 083,197,,,0
198,32 226 71 15,198,,,0
199,570 365 156,199,,,0
200,512 591 145,200,,,0
201,+48 887 109 692,201,,,0
202,668 533 878,202,,,0
203,+48 530 792 587,203,,,0
204,22 215 13 89,204,,,0
205,601 137 981,205,,,0
206,+48 723 307 134,206,,,0
207,699 285 639,207,,,0
